section	year	date	type	content	venue	title	file	source_url
by	2016	2016-02-24	blog-post	full-text	anildash.com	On the Hunt	2016--on-the-hunt.md	https://anildash.com/2016/02/24/on-the-hunt/
by	2016	2016-02-08	essay	full-text	Medium	Closing the doors	2016--medium-closing-the-doors.md	https://medium.com/@anildash/closing-the-doors-58b0b107a7f2
by	2016	2016-01-18	blog-post	full-text	anildash.com	I'm the most magnanimous motherfucker you know.	2016--magnanimous-motherfucker.md	https://anildash.com/2016/01/18/magnanimous-motherfucker/
by	2016	2016-01-15	essay	full-text	Medium (humane-tech)	Network Inequality	2016--medium-network-inequality.md	https://medium.com/humane-tech/network-inequality-3309fb1aac59
by	2016		essay	full-text	Medium	Toward Humane Tech — Medium	2016--medium-toward-humane-tech.md	https://medium.com/@anildash/toward-humane-tech-23a20405681a
by	2016		essay	full-text	Medium	Against “Don’t Read the Comments” — Medium	2016--medium-against-don-t-read-the-comments.md	https://medium.com/@anildash/against-don-t-read-the-comments-aee43ce515b9
by	2015	2015-12-20	blog-post	full-text	anildash.com	Awakenings!	2015--awakenings.md	https://anildash.com/2015/12/19/awakenings/
by	2015	2015-12-02	essay	full-text	Medium	How to look at the Chan Zuckerberg Initiative	2015--medium-how-to-look-at-the-chan-zuckerberg-initiative.md	https://medium.com/@anildash/how-to-look-at-the-chan-zuckerberg-initiative-f357e5dd8c63
by	2015	2015-11-25	blog-post	full-text	anildash.com	Beyond Doing Half the Parenting	2015--beyond-doing-half-the-parenting.md	https://anildash.com/2015/11/25/beyond-doing-half-the-parenting/
by	2015	2015-10-15	op-ed	full-text	Wired	So here's the thing.	2015--wired-so-heres-the-thing.md	https://www.wired.com/2015/10/so-heres-the-thing/
by	2015	2015-10-10	blog-post	full-text	anildash.com	A little less rocking with you...	2015--a-little-less-rocking-with-you.md	https://anildash.com/2015/10/10/a-little-less-rocking-with-you/
by	2015	2015-09-11	blog-post	full-text	anildash.com	Fourteen is Remembering	2015--fourteen-is-remembering.md	https://anildash.com/2015/09/11/fourteen-is-remembering/
by	2015	2015-09-04	blog-post	full-text	anildash.com	Let's Support The Girls Club	2015--lets-support-the-girls-club.md	https://anildash.com/2015/09/04/lets-support-the-girls-club/
by	2015	2015-08-20	blog-post	full-text	anildash.com	It is miraculous.	2015--it-is-miraculous.md	https://anildash.com/2015/08/19/it-is-miraculous/
by	2015	2015-07-11	blog-post	full-text	anildash.com	The Internet of Tweets	2015--the-internet-of-tweets.md	https://anildash.com/2015/07/11/the-internet-of-tweets/
by	2015	2015-07-01	blog-post	full-text	anildash.com	Why, Bobby Jindal?	2015--on-bobby-jindal.md	https://anildash.com/2015/06/30/on-bobby-jindal/
by	2015	2015-06-19	blog-post	full-text	anildash.com	Uber for Uber: 10 Simple Steps to Improve Ride Sharing	2015--uber-for-uber.md	https://anildash.com/2015/06/19/uber-for-uber/
by	2015	2015-05-24	blog-post	full-text	anildash.com	Nobody Famous	2015--nobody-famous.md	https://anildash.com/2015/05/24/nobody-famous/
by	2015	2015-05-19	blog-post	full-text	anildash.com	Comedy Hack Day!	2015--comedy-hack-day.md	https://anildash.com/2015/05/19/comedy-hack-day/
by	2015	2015-04-30	blog-post	full-text	anildash.com	Conduct Becoming	2015--conduct-becoming.md	https://anildash.com/2015/04/30/conduct-becoming/
by	2015	2015-04-21	essay	full-text	Medium (message)	The Cost of Fame	2015--medium-the-cost-of-fame.md	https://medium.com/message/the-cost-of-fame-5fd5c24c3185
by	2015	2015-03-10	blog-post	full-text	anildash.com	Nope	2015--nope.md	https://anildash.com/2015/03/09/nope/
by	2015	2015-02-25	blog-post	full-text	anildash.com	Not a \\"Good Guy\\"	2015--not-a-good-guy.md	https://anildash.com/2015/02/24/not-a-good-guy/
by	2015	2015-01-23	blog-post	full-text	anildash.com	How Software Works	2015--how-software-works.md	https://anildash.com/2015/01/23/how-software-works/
by	2015	2015-01-09	blog-post	full-text	anildash.com	Resolutions!	2015--resolutions.md	https://anildash.com/2015/01/09/resolutions/
by	2015	2015-01-09	essay	full-text	Medium (message)	Our Internet Resolutions	2015--medium-our-internet-resolutions.md	https://medium.com/message/our-internet-resolutions-f40f84b28115
by	2015	2015-01-06	blog-post	full-text	anildash.com	What We Can Do Together	2015--what-we-can-do-together.md	https://anildash.com/2015/01/06/what-we-can-do-together/
by	2015	2015-01-06	blog-post	full-text	anildash.com	Bad Dad	2015--bad-dad.md	https://anildash.com/2015/01/05/bad-dad/
by	2015	2015-01-02	blog-post	full-text	anildash.com	"The goal is to make you act like less of a jerk online."	2015--the-goal-is-to-make-you-act-like-less-of-a-jerk-online.md	https://anildash.com/2015/01/02/the-goal-is-to-make-you-act-like-less-of-a-jerk-online/
by	2014	2014-12-17	blog-post	full-text	anildash.com	Circles	2014--circles.md	https://anildash.com/2014/12/16/circles/
by	2014	2014-11-27	blog-post	full-text	anildash.com	Peak Dad Twitter	2014--peak-dad-twitter.md	https://anildash.com/2014/11/26/peak-dad-twitter/
by	2014	2014-11-20	blog-post	full-text	anildash.com	It's hard to build a good web	2014--its-hard-to-build-a-good-web.md	https://anildash.com/2014/11/19/its-hard-to-build-a-good-web/
by	2014	2014-11-13	blog-post	full-text	anildash.com	(Twitter) Famous!	2014--twitter-famous.md	https://anildash.com/2014/11/13/twitter-famous/
by	2014	2014-11-04	blog-post	full-text	anildash.com	Why Pennsylvanians should vote for Tom Wolf	2014--why-pennsylvanians-should-vote-for-tom-wolf.md	https://anildash.com/2014/11/04/why-pennsylvanians-should-vote-for-tom-wolf/
by	2014	2014-11-04	blog-post	full-text	anildash.com	Real Web History	2014--real-web-history.md	https://anildash.com/2014/11/04/real-web-history/
by	2014	2014-10-13	blog-post	full-text	anildash.com	Fuck Smores	2014--fuck-smores.md	https://anildash.com/2014/10/13/fuck-smores/
