openalex_id	year	date	type	title	venue	doi	oa_status	cited_by_count	has_abstract	best_oa_pdf_url	best_oa_landing_url	authors
W1970005263	2006	2006-01-01	article	Politics Online: Blogs, Chatrooms and Discussion Groups in American Democracy by Richard Davis	Political Science Quarterly	https://doi.org/10.1002/j.1538-165x.2006.tb01533.x	closed	0	yes			Henry Farrell
W3122414447	2006	2006-12-15	preprint	Legislate or Delegate? Bargaining over Implementation and Legislative Authority in the European Union	RePEc: Research Papers in Economics		green	0	yes	http://hdl.handle.net/1814/6416	http://hdl.handle.net/1814/6416	Carl-Fredrik Bergstrøm; Henry Farrell; Adrienne Héritier
W3125139929	2006	2006-12-15	preprint	Codecision and Institutional Change	RePEc: Research Papers in Economics		green	0	yes		https://hdl.handle.net/1814/6415	Henry Farrell; Adrienne Héritier
W2156148804	2005	2005-01-01	preprint	Regulating Information Flows: States, Private Actors and E-Commerce	SSRN Electronic Journal	https://doi.org/10.2139/ssrn.799269	green	49	no		https://doi.org/10.2139/ssrn.799269	Henry Farrell
W3123932713	2005	2005-01-01	preprint	Trust and Political Economy: Institutions and the Sources of Interfirm Cooperation	SSRN Electronic Journal		green	43	yes		http://papers.ssrn.com/abstract=1506784	Henry Farrell
W2130583368	2005	2005-04-01	article	A rationalist-institutionalist explanation of endogenous regional integration1	Journal of European Public Policy	https://doi.org/10.1080/13501760500044017	closed	42	yes			Henry Farrell; Adrienne Héritier
W2104010615	2005	2005-04-15	article	Trust and Political Economy	Comparative Political Studies	https://doi.org/10.1177/0010414004273506	closed	30	yes			Henry Farrell
W2113754449	2004	2004-02-01	article	Breaking the Path of Institutional Development? Alternatives to the New Determinism	Rationality and Society	https://doi.org/10.1177/1043463104039874	closed	379	yes			Colin Crouch; Henry Farrell
W2056779843	2004	2004-11-10	article	Interorganizational Negotiation and Intraorganizational Power in Shared Decision Making	Comparative Political Studies	https://doi.org/10.1177/0010414004269833	closed	217	yes			Henry Farrell; Adrienne Héritier
W2798145903	2004	2004-11-01	article	Web of Influence	Foreign Policy	https://doi.org/10.2307/4152942	closed	82	no			Daniel W. Drezner; Henry Farrell
W2479575228	2004	2004-02-26	book-chapter	Collective Goods in the Local Economy: The Packaging Machinery Cluster in Bologna		https://doi.org/10.1093/0199259402.003.0003	closed	31	yes			Henry Farrell; Ann‐Louise Holten
W103140137	2004	2004-03-01	report	Inter-organizational Negotiation and Intra-organizational Power in Shared Decision-making: Early agreements under codecision and their impact on the European Parliament and the Council of Ministers. IHS Political Science Series: 2004, No. 95	Archive of European Integration (AEI) (University of Pittsburgh)		green	6	yes	http://aei.pitt.edu/1470/1/pw_95.pdf	http://aei.pitt.edu/1470/1/pw_95.pdf	Henry Farrell; Adrienne Héritier
W174139049	2004	2004-01-01	article	La fuerza de los 'blogs'	FP: Foreign Policy Edición Española		closed	0	no			Daniel W. Drezner; Henry Farrell
